location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
India,01-05-2020,35043,1993,1709.429,1147,73,61.286,24.727,1.406,1.206,0.809,0.052,0.043
India,02-05-2020,37336,2293,1832.857,1218,71,63.286,26.345,1.618,1.293,0.859,0.05,0.045
India,03-05-2020,39980,2644,1926.286,1301,83,68.143,28.211,1.866,1.359,0.918,0.059,0.048
India,04-05-2020,42533,2553,2091.571,1373,72,71.571,30.013,1.801,1.476,0.969,0.051,0.051
India,05-05-2020,46433,3900,2428.286,1568,195,90.571,32.765,2.752,1.713,1.106,0.138,0.064
India,06-05-2020,49391,2958,2579.857,1694,126,98.143,34.852,2.087,1.82,1.195,0.089,0.069
India,07-05-2020,52952,3561,2843.143,1783,89,101.286,37.365,2.513,2.006,1.258,0.063,0.071
India,08-05-2020,56342,3390,3042.714,1886,103,105.571,39.757,2.392,2.147,1.331,0.073,0.074
India,09-05-2020,59662,3320,3189.429,1981,95,109,42.099,2.343,2.251,1.398,0.067,0.077
India,10-05-2020,62939,3277,3279.857,2109,128,115.429,44.412,2.312,2.314,1.488,0.09,0.081
India,11-05-2020,67152,4213,3517,2206,97,119,47.384,2.973,2.482,1.557,0.068,0.084
India,12-05-2020,70756,3604,3474.714,2293,87,103.571,49.928,2.543,2.452,1.618,0.061,0.073
India,13-05-2020,74281,3525,3555.714,2415,122,103,52.415,2.487,2.509,1.704,0.086,0.073
India,14-05-2020,78003,3722,3578.714,2549,134,109.429,55.041,2.626,2.525,1.799,0.095,0.077
India,15-05-2020,81970,3967,3661.143,2649,100,109,57.84,2.799,2.583,1.869,0.071,0.077
India,16-05-2020,85940,3970,3754,2752,103,110.143,60.642,2.801,2.649,1.942,0.073,0.078
India,17-05-2020,90927,4987,3998.286,2872,120,109,64.161,3.519,2.821,2.027,0.085,0.077
India,18-05-2020,96169,5242,4145.286,3029,157,117.571,67.86,3.699,2.925,2.137,0.111,0.083
India,19-05-2020,101139,4970,4340.429,3163,134,124.286,71.367,3.507,3.063,2.232,0.095,0.088
India,20-05-2020,106750,5611,4638.429,3303,140,126.857,75.326,3.959,3.273,2.331,0.099,0.09
India,21-05-2020,112359,5609,4908,3435,132,126.571,79.284,3.958,3.463,2.424,0.093,0.089
India,22-05-2020,118447,6088,5211,3583,148,133.429,83.58,4.296,3.677,2.528,0.104,0.094
India,23-05-2020,125101,6654,5594.429,3720,137,138.286,88.275,4.695,3.948,2.625,0.097,0.098
India,24-05-2020,131868,6767,5848.714,3867,147,142.143,93.05,4.775,4.127,2.729,0.104,0.1
India,25-05-2020,138845,6977,6096.571,4021,154,141.714,97.973,4.923,4.302,2.837,0.109,0.1
India,26-05-2020,145380,6535,6320.143,4167,146,143.429,102.585,4.611,4.46,2.94,0.103,0.101
India,27-05-2020,151767,6387,6431,4337,170,147.714,107.091,4.507,4.538,3.06,0.12,0.104
India,28-05-2020,158333,6566,6567.714,4531,194,156.571,111.725,4.633,4.634,3.197,0.137,0.11
India,29-05-2020,165799,7466,6764.571,4706,175,160.429,116.993,5.268,4.773,3.321,0.123,0.113
India,30-05-2020,173763,7964,6951.714,4971,265,178.714,122.612,5.62,4.905,3.508,0.187,0.126
India,31-05-2020,182143,8380,7182.143,5164,193,185.286,128.526,5.913,5.068,3.644,0.136,0.131
India,01-06-2020,190535,8392,7384.286,5394,230,196.143,134.447,5.922,5.211,3.806,0.162,0.138
India,02-06-2020,198706,8171,7618,5598,204,204.429,140.213,5.766,5.375,3.95,0.144,0.144
India,03-06-2020,207615,8909,7978.286,5815,217,211.143,146.499,6.286,5.63,4.103,0.153,0.149
India,04-06-2020,216919,9304,8369.429,6075,260,220.571,153.065,6.565,5.906,4.287,0.183,0.156
India,05-06-2020,226770,9851,8710.143,6348,273,234.571,160.016,6.951,6.146,4.479,0.193,0.166
India,06-06-2020,236657,9887,8984.857,6642,294,238.714,166.992,6.977,6.34,4.687,0.207,0.168
India,07-06-2020,246628,9971,9212.143,6929,287,252.143,174.028,7.036,6.5,4.889,0.203,0.178
India,08-06-2020,256611,9983,9439.429,7200,271,258,181.072,7.044,6.661,5.081,0.191,0.182
India,09-06-2020,266598,9987,9698.857,7471,271,267.571,188.12,7.047,6.844,5.272,0.191,0.189
India,10-06-2020,276583,9985,9852.571,7745,274,275.714,195.165,7.046,6.952,5.465,0.193,0.195
India,11-06-2020,286579,9996,9951.429,8102,357,289.571,202.219,7.053,7.022,5.717,0.252,0.204
India,12-06-2020,297535,10956,10109.286,8498,396,307.143,209.95,7.731,7.133,5.996,0.279,0.217
India,13-06-2020,308993,11458,10333.714,8884,386,320.286,218.035,8.085,7.292,6.269,0.272,0.226
India,14-06-2020,320922,11929,10613.429,9195,311,323.714,226.452,8.417,7.489,6.488,0.219,0.228
India,15-06-2020,332424,11502,10830.429,9520,325,331.429,234.568,8.116,7.642,6.718,0.229,0.234
India,16-06-2020,343091,10667,10927.571,9900,380,347,242.095,7.527,7.711,6.986,0.268,0.245
India,17-06-2020,354065,10974,11068.857,11903,2003,594,249.839,7.744,7.811,8.399,1.413,0.419
India,18-06-2020,366946,12881,11481,12237,334,590.714,258.928,9.089,8.101,8.635,0.236,0.417
India,19-06-2020,380532,13586,11856.714,12573,336,582.143,268.515,9.587,8.366,8.872,0.237,0.411
India,20-06-2020,395048,14516,12293.571,12948,375,580.571,278.758,10.243,8.675,9.136,0.265,0.41
India,21-06-2020,410461,15413,12791.286,13254,306,579.857,289.634,10.876,9.026,9.352,0.216,0.409
India,22-06-2020,425282,14821,13265.429,13699,445,597,300.092,10.458,9.36,9.666,0.314,0.421
India,23-06-2020,440215,14933,13874.857,14011,312,587.286,310.629,10.537,9.791,9.887,0.22,0.414
India,24-06-2020,456183,15968,14588.286,14476,465,367.571,321.896,11.268,10.294,10.215,0.328,0.259
India,25-06-2020,473105,16922,15165.571,14894,418,379.571,333.837,11.941,10.701,10.51,0.295,0.268
India,26-06-2020,490401,17296,15695.571,15301,407,389.714,346.042,12.205,11.075,10.797,0.287,0.275
India,27-06-2020,508953,18552,16272.143,15685,384,391,359.133,13.091,11.482,11.068,0.271,0.276
India,28-06-2020,528859,19906,16914,16095,410,405.857,373.179,14.046,11.935,11.357,0.289,0.286
India,29-06-2020,548318,19459,17576.571,16475,380,396.571,386.91,13.731,12.403,11.625,0.268,0.28
India,30-06-2020,566840,18522,18089.286,16893,418,411.714,399.979,13.07,12.764,11.92,0.295,0.291
India,01-07-2020,585493,18653,18472.857,17400,507,417.714,413.141,13.162,13.035,12.278,0.358,0.295
India,02-07-2020,604641,19148,18790.857,17834,434,420,426.653,13.511,13.259,12.584,0.306,0.296
India,03-07-2020,625544,20903,19306.143,18213,379,416,441.403,14.75,13.623,12.852,0.267,0.294
India,04-07-2020,648315,22771,19908.857,18655,442,424.286,457.471,16.068,14.048,13.164,0.312,0.299
India,05-07-2020,673165,24850,20615.143,19268,613,453.286,475.005,17.535,14.547,13.596,0.433,0.32
India,06-07-2020,697413,24248,21299.286,19693,425,459.714,492.116,17.11,15.029,13.896,0.3,0.324
India,07-07-2020,719665,22252,21832.143,20160,467,466.714,507.817,15.702,15.405,14.226,0.33,0.329
India,08-07-2020,742417,22752,22417.714,20642,482,463.143,523.872,16.054,15.819,14.566,0.34,0.327
India,09-07-2020,767296,24879,23236.429,21129,487,470.714,541.427,17.555,16.396,14.909,0.344,0.332
India,10-07-2020,793802,26506,24036.857,21604,475,484.429,560.131,18.703,16.961,15.244,0.335,0.342
India,11-07-2020,820916,27114,24657.286,22123,519,495.429,579.263,19.132,17.399,15.611,0.366,0.35
India,12-07-2020,849553,28637,25198.286,22674,551,486.571,599.47,20.207,17.781,15.999,0.389,0.343
India,13-07-2020,878254,28701,25834.429,23174,500,497.286,619.722,20.252,18.23,16.352,0.353,0.351
India,14-07-2020,906752,28498,26726.714,23727,553,509.571,639.831,20.109,18.859,16.742,0.39,0.36
India,15-07-2020,936181,29429,27680.571,24309,582,523.857,660.597,20.766,19.532,17.153,0.411,0.37
India,16-07-2020,968876,32695,28797.143,24915,606,540.857,683.668,23.071,20.32,17.581,0.428,0.382
India,17-07-2020,1003832,34956,30004.286,25602,687,571.143,708.334,24.666,21.172,18.066,0.485,0.403
India,18-07-2020,1038716,34884,31114.286,26273,671,592.857,732.949,24.615,21.955,18.539,0.473,0.418
India,19-07-2020,1077618,38902,32580.714,26816,543,591.714,760.4,27.45,22.99,18.922,0.383,0.418
India,20-07-2020,1118043,40425,34255.571,27497,681,617.571,788.925,28.525,24.172,19.403,0.481,0.436
India,21-07-2020,1155191,37148,35491.286,28084,587,622.429,815.138,26.213,25.044,19.817,0.414,0.439
India,22-07-2020,1192915,37724,36676.286,28732,648,631.857,841.757,26.619,25.88,20.274,0.457,0.446
India,23-07-2020,1238635,45720,38537,29861,1129,706.571,874.018,32.261,27.193,21.071,0.797,0.499
India,24-07-2020,1287945,49310,40587.571,30601,740,714.143,908.813,34.795,28.64,21.593,0.522,0.504
India,25-07-2020,1336861,48916,42592.143,31358,757,726.429,943.329,34.517,30.054,22.127,0.534,0.513
India,26-07-2020,1385522,48661,43986.286,32063,705,749.571,977.666,34.337,31.038,22.625,0.497,0.529
India,27-07-2020,1435453,49931,45344.286,32771,708,753.429,1012.899,35.233,31.996,23.124,0.5,0.532
India,28-07-2020,1483156,47703,46852.143,33425,654,763,1046.56,33.661,33.06,23.586,0.461,0.538
India,29-07-2020,1531669,48513,48393.429,34193,768,780.143,1080.792,34.232,34.148,24.128,0.542,0.55
India,30-07-2020,1583792,52123,49308.143,34968,775,729.571,1117.571,36.78,34.793,24.674,0.547,0.515
India,31-07-2020,1638870,55078,50132.143,35747,779,735.143,1156.436,38.865,35.375,25.224,0.55,0.519
India,01-08-2020,1695988,57118,51303.857,36511,764,736.143,1196.74,40.304,36.202,25.763,0.539,0.519
India,02-08-2020,1750723,54735,52171.571,37364,853,757.286,1235.363,38.623,36.814,26.365,0.602,0.534
India,03-08-2020,1803695,52972,52606,38135,771,766.286,1272.741,37.379,37.12,26.909,0.544,0.541
India,04-08-2020,1855745,52050,53227,38938,803,787.571,1309.47,36.728,37.559,27.476,0.567,0.556
India,05-08-2020,1908254,52509,53797.857,39795,857,800.286,1346.521,37.052,37.961,28.081,0.605,0.565
India,06-08-2020,1964536,56282,54392,40699,904,818.714,1386.236,39.714,38.381,28.718,0.638,0.578
India,07-08-2020,2027074,62538,55457.714,41585,886,834,1430.364,44.129,39.133,29.344,0.625,0.588
India,08-08-2020,2088611,61537,56089,42518,933,858.143,1473.787,43.422,39.578,30.002,0.658,0.606
India,09-08-2020,2153010,64399,57469.571,43379,861,859.286,1519.229,45.442,40.552,30.61,0.608,0.606
India,10-08-2020,2215074,62064,58768.429,44386,1007,893,1563.023,43.794,41.469,31.32,0.711,0.63
India,11-08-2020,2268675,53601,58990,45257,871,902.714,1600.845,37.822,41.625,31.935,0.615,0.637
India,12-08-2020,2329638,60963,60197.714,46091,834,899.429,1643.863,43.017,42.477,32.523,0.588,0.635
India,13-08-2020,2396637,66999,61728.714,47033,942,904.857,1691.139,47.277,43.558,33.188,0.665,0.638
India,14-08-2020,2461190,64553,62016.571,48040,1007,922.143,1736.69,45.551,43.761,33.898,0.711,0.651
India,15-08-2020,2526192,65002,62511.571,49036,996,931.143,1782.557,45.867,44.11,34.601,0.703,0.657
India,16-08-2020,2589682,63490,62381.714,49980,944,943,1827.358,44.8,44.018,35.267,0.666,0.665
India,17-08-2020,2647663,57981,61798.429,50921,941,933.571,1868.271,40.913,43.607,35.931,0.664,0.659
India,18-08-2020,2702742,55079,62009.571,51797,876,934.286,1907.136,38.865,43.756,36.55,0.618,0.659
India,19-08-2020,2767273,64531,62519.286,52889,1092,971.143,1952.671,45.535,44.115,37.32,0.771,0.685
India,20-08-2020,2836925,69652,62898.286,53866,977,976.143,2001.82,49.149,44.383,38.009,0.689,0.689
India,21-08-2020,2905823,68898,63519,54849,983,972.714,2050.436,48.617,44.821,38.703,0.694,0.686
India,22-08-2020,2975701,69878,64215.571,55794,945,965.429,2099.744,49.308,45.312,39.37,0.667,0.681
India,23-08-2020,3044940,69239,65036.857,56706,912,960.857,2148.601,48.857,45.892,40.013,0.644,0.678
India,24-08-2020,3106348,61408,65526.429,57542,836,945.857,2191.933,43.331,46.237,40.603,0.59,0.667
India,25-08-2020,3167323,60975,66368.714,58390,848,941.857,2234.958,43.026,46.832,41.202,0.598,0.665
India,26-08-2020,3234474,67151,66743,59449,1059,937.143,2282.342,47.384,47.096,41.949,0.747,0.661
India,27-08-2020,3310234,75760,67615.571,60472,1023,943.714,2335.801,53.459,47.712,42.671,0.722,0.666
India,28-08-2020,3387500,77266,68811,61529,1057,954.286,2390.322,54.521,48.555,43.417,0.746,0.673
India,29-08-2020,3463972,76472,69753,62550,1021,965.143,2444.283,53.961,49.22,44.137,0.72,0.681
India,30-08-2020,3542733,78761,71113.286,63498,948,970.286,2499.859,55.576,50.18,44.806,0.669,0.685
India,31-08-2020,3621245,78512,73556.714,64469,971,989.571,2555.259,55.4,51.904,45.491,0.685,0.698
India,01-09-2020,3691166,69921,74834.714,65288,819,985.429,2604.598,49.338,52.806,46.069,0.578,0.695
India,02-09-2020,3769523,78357,76435.571,66333,1045,983.429,2659.889,55.291,53.935,46.807,0.737,0.694
India,03-09-2020,3853406,83883,77596,67376,1043,986.286,2719.079,59.19,54.754,47.543,0.736,0.696
India,04-09-2020,3936747,83341,78463.857,68472,1096,991.857,2777.887,58.808,55.366,48.316,0.773,0.7
India,05-09-2020,4023179,86432,79886.714,69561,1089,1001.571,2838.876,60.989,56.37,49.084,0.768,0.707
India,06-09-2020,4113811,90632,81582.571,70626,1065,1018.286,2902.829,63.953,57.567,49.836,0.751,0.719
India,07-09-2020,4204613,90802,83338.286,71642,1016,1024.714,2966.901,64.073,58.806,50.553,0.717,0.723
India,08-09-2020,4280422,75809,84179.429,72775,1133,1069.571,3020.395,53.493,59.4,51.352,0.799,0.755
India,09-09-2020,4370128,89706,85800.714,73890,1115,1079.571,3083.694,63.299,60.544,52.139,0.787,0.762
India,10-09-2020,4465863,95735,87493.857,75062,1172,1098,3151.247,67.553,61.738,52.966,0.827,0.775
India,11-09-2020,4562414,96551,89381,76271,1209,1114.143,3219.377,68.129,63.07,53.819,0.853,0.786
India,12-09-2020,4659984,97570,90972.143,77472,1201,1130.143,3288.225,68.848,64.193,54.667,0.847,0.797
India,13-09-2020,4754356,94372,91506.429,78586,1114,1137.143,3354.817,66.592,64.57,55.453,0.786,0.802
India,14-09-2020,4846427,92071,91687.714,79722,1136,1154.286,3419.785,64.968,64.698,56.254,0.802,0.814
India,15-09-2020,4930236,83809,92830.571,80776,1054,1143,3478.923,59.138,65.504,56.998,0.744,0.807
India,16-09-2020,5020359,90123,92890.143,82066,1290,1168,3542.516,63.594,65.546,57.908,0.91,0.824
India,17-09-2020,5118253,97894,93198.571,83198,1132,1162.286,3611.593,69.077,65.764,58.707,0.799,0.82
India,18-09-2020,5214677,96424,93180.429,84372,1174,1157.286,3679.633,68.04,65.751,59.535,0.828,0.817
